timestamp,region,service_type,demand_units,capacity_allocated,cost_usd,availability_pct,customer_growth_rate,enterprise_it_spending_index
28-01-2023,West Europe,Storage,776,1042,69.43,97.52,0.0394,1.056
28-01-2023,Central India,Compute,757,936,89.45,99.92,0.0401,0.808
28-01-2023,Central India,Storage,1776,2023,99.91,99.96,0.0414,0.853
28-01-2023,Southeast Asia,Compute,1134,1313,83.13,99.92,0.0135,1.015
28-01-2023,Southeast Asia,Storage,568,787,77.81,99.52,0.0327,0.881
29-01-2023,East US,Compute,1299,1563,145.3,98.99,0.0182,1.125
29-01-2023,East US,Storage,1687,1925,205.55,98.17,0.0184,1.112
29-01-2023,West Europe,Compute,1212,1433,89.82,97.23,0.0479,1.169
29-01-2023,West Europe,Storage,1068,1237,141.18,97.4,0.011,1.089
29-01-2023,Central India,Compute,1730,1989,134.75,98.4,0.015,0.862
29-01-2023,Central India,Storage,1662,1802,211.1,98.72,0.0201,0.842
29-01-2023,Southeast Asia,Compute,1168,1457,149.66,97.02,0.0474,0.911
29-01-2023,Southeast Asia,Storage,647,765,57.97,97.13,0.0155,1.091
30-01-2023,east us,Compute,594,766,56.63,98.88,0.0211,0.981
30-01-2023,East US,Storage,1208,1474,155.97,98.61,0.0347,0.941
30-01-2023,West Europe,Compute,,1778,188.12,98.64,0.029,0.85
30-01-2023,West Europe,Storage,662,735,48.68,97.45,0.0206,1.186
30-01-2023,Central India,Compute,788,909,92.93,98.16,0.0392,0.99
30-01-2023,Central India,Storage,1917,2168,225.88,98.04,0.0466,0.951
30-01-2023,Southeast Asia,Compute,1084,1238,119.52,98.84,0.0486,1.12
30-01-2023,Southeast Asia,Storage,907,1142,49.22,97.21,0.0324,1.046
31-01-2023,East US,Compute,1996,2083,,97.42,0.0305,0.965
31-01-2023,East US,Storage,1701,1885,216.58,97.79,0.0262,0.836
31-01-2023,West Europe,Compute,1670,1951,187.68,97.73,0.0415,0.816
31-01-2023,West Europe,Storage,1164,1368,127.1,98.79,0.0432,1.019
31-01-2023,Central India,Compute,649,897,53.13,97.96,0.014,0.842
31-01-2023,Central India,Storage,1632,1773,84.77,99.86,0.0499,1.137
31-01-2023,Southeast Asia,Compute,839,1053,109.23,99.83,0.038,1.163
31-01-2023,Southeast Asia,Storage,1921,2176,171.14,99.88,0.0281,0.955
01-02-2023,East US,Compute,1806,1914,108.6,97.94,0.0481,0.862
01-02-2023,East US,Storage,1964,2040,107.1,98.31,0.0335,1.173
01-02-2023,West Europe,Compute,1770,1982,201.09,99,0.0461,0.921
01-02-2023,West Europe,Storage,734,851,100.63,97.93,0.0281,0.821
01-02-2023,Central India,Compute,1166,1257,102,99.62,0.0233,0.983
01-02-2023,Central India,Storage,1196,1255,158.28,97.87,0.0412,1.029
01-02-2023,southeast asia,Compute,1725,1936,108.83,98.66,0.0265,1.025
01-02-2023,Southeast Asia,Storage,1124,1312,137.47,98.22,0.0424,0.996
02-02-2023,East US,Compute,545,724,31.63,98.5,0.0366,1.023
02-02-2023,East US,Storage,1592,1734,124.49,99.59,0.0119,1.029
02-02-2023,West Europe,Compute,1409,1556,106.77,98.78,0.0388,1.093
02-02-2023,West Europe,Storage,1230,1447,112.45,,0.0373,1.002
02-02-2023,Central India,Compute,1921,2128,264.1,98.56,0.0418,1.06
02-02-2023,Central India,Storage,1715,1785,130.5,98.69,0.0259,0.846
02-02-2023,Southeast Asia,Compute,1294,1370,140.3,99.02,0.0306,0.874
02-02-2023,Southeast Asia,Storage,747,836,64.23,99.85,0.0403,0.971
03-02-2023,East US,Compute,657,769,72.48,97.15,0.0219,0.813
03-02-2023,East US,Storage,952,1166,138.94,99.95,0.0429,1.109
03-02-2023,West Europe,Compute,1148,1219,158.34,97.76,0.038,0.887
03-02-2023,West Europe,Storage,973,1144,61.39,97.05,0.016,0.83
03-02-2023,Central India,Compute,1923,2171,110.64,97.25,0.0303,1.1
03-02-2023,Central India,Storage,1102,1382,110.67,99.19,0.0186,1.189
03-02-2023,Southeast Asia,Compute,1110,1334,66.16,98.75,0.0281,0.933
03-02-2023,Southeast Asia,Storage,1328,1484,79.99,97.86,0.0292,0.939
04-02-2023,East US,Compute,520,603,74.4,98.64,0.0341,0.88
04-02-2023,East US,Storage,1052,1342,,99,0.0345,1.18
04-02-2023,West Europe,Compute,1176,1331,164.36,99.51,0.0316,0.962
04-02-2023,West Europe,storage,801,970,50.18,98.18,0.0403,1.167
04-02-2023,central india,Compute,822,1102,116.46,98.68,0.0175,1.052
04-02-2023,Central India,Storage,1228,1405,168.52,97.47,0.0442,0.839
04-02-2023,Southeast Asia,Compute,678,968,99.6,98.2,0.0312,0.849
04-02-2023,Southeast Asia,Storage,564,863,46.91,97.28,0.0454,1.015
05-02-2023,East US,Compute,1482,1592,199.29,98.03,0.012,0.998
05-02-2023,East US,Storage,1835,1889,231.66,97.57,0.0396,0.849
05-02-2023,West Europe,compute,1446,1684,97.39,98.99,0.0237,1.058
05-02-2023,West Europe,Storage,676,932,71.65,97.36,0.0444,1.158
05-02-2023,Central India,Compute,789,983,44.99,98.77,0.0349,0.951
05-02-2023,Central India,Storage,1869,1974,164.7,97.58,0.0178,1.178
05-02-2023,Southeast Asia,Compute,578,768,70.21,97.44,0.0233,1.175
05-02-2023,Southeast Asia,Storage,689,941,98.41,97.73,0.0281,1.116
06-02-2023,East US,Compute,1368,1469,74.2,99.22,0.0185,0.956
06-02-2023,East US,Storage,1699,1837,224.92,98.92,0.0118,1.029
06-02-2023,West Europe,Compute,1457,1538,213.5,97.36,0.0375,0.802
06-02-2023,West Europe,Storage,1250,1364,149.45,98.45,0.0467,1.011
06-02-2023,Central India,compute,1358,1540,149.79,98.23,0.0369,0.982
06-02-2023,Central India,Storage,1099,1367,137.1,99.99,0.0432,1.007
06-02-2023,Southeast Asia,compute,1168,1264,170.5,99.23,0.0172,1.146
06-02-2023,Southeast Asia,Storage,983,1182,71.84,97.34,0.0481,1.007
07-02-2023,East US,Compute,1226,1408,108.73,99.79,0.0452,1.175
07-02-2023,East US,Storage,1619,1691,189.85,99.51,0.0106,1.129
07-02-2023,West Europe,compute,,2228,,99.81,0.0123,0.938
07-02-2023,west europe,Storage,1715,1911,180.9,97.9,0.0324,0.954
07-02-2023,Central India,Compute,1098,1210,158.61,99.75,0.0334,0.818
07-02-2023,Central India,Storage,984,1166,80.85,98.59,0.041,1.052
07-02-2023,Southeast Asia,Compute,1398,1570,77.91,98.24,0.0175,1.109
07-02-2023,Southeast Asia,Storage,1957,2205,202.17,98.58,0.0112,0.996
08-02-2023,East US,Compute,1508,1769,126.13,99.6,0.017,1.17
08-02-2023,East US,Storage,1499,1565,120.54,99.17,0.039,1.004
08-02-2023,West Europe,Compute,1831,1965,144.93,99.24,0.0183,0.975
08-02-2023,West Europe,Storage,1961,2143,278.91,98.03,0.0135,1.129
08-02-2023,Central India,Compute,1400,1568,207.33,97.91,0.0399,0.865
08-02-2023,Central India,Storage,1745,1848,96,98.59,0.0165,0.874
08-02-2023,Southeast Asia,Compute,1180,1233,,99.39,0.0197,0.87
08-02-2023,Southeast Asia,Storage,521,625,68.31,98.29,0.0126,0.817
09-02-2023,East US,Compute,1681,1914,99.76,,0.0279,1.17
09-02-2023,East US,Storage,1938,2183,247.35,98.41,0.0336,0.852
09-02-2023,West Europe,Compute,,1731,85.89,97.13,0.0327,1.139
09-02-2023,West Europe,Storage,1705,1958,211.09,97.51,0.0492,1.121
09-02-2023,Central India,Compute,1633,1690,207.97,97.85,0.0268,1.008
09-02-2023,Central India,Storage,1052,1124,126.18,97.74,0.0352,1.126
09-02-2023,Southeast Asia,Compute,1721,1896,144.97,99.89,0.0368,0.947
09-02-2023,Southeast Asia,Storage,748,1015,87.48,97.48,0.0107,1.029
10-02-2023,East US,Compute,1874,2143,101.72,97.73,0.0189,1.182
10-02-2023,East US,storage,,2018,192.18,99.15,0.0109,0.871
10-02-2023,West Europe,Compute,802,872,83.03,99.53,0.0427,0.812
10-02-2023,West Europe,Storage,750,992,75.57,97.26,0.0353,0.892
10-02-2023,Central India,Compute,1350,1548,137.49,99.19,0.016,1.166
10-02-2023,Central India,Storage,1927,2212,104.22,97.54,0.047,1.051
10-02-2023,southeast asia,Compute,857,1027,54.02,98.48,0.037,1.168
10-02-2023,Southeast Asia,Storage,1151,1413,130.86,99.38,0.0317,1.108
11-02-2023,East US,Compute,1870,2020,102.91,99.63,0.049,1.127
11-02-2023,East US,Storage,1727,1993,119.91,99.38,0.031,1.054
11-02-2023,West Europe,Compute,,767,59.38,97.64,0.0221,1.089
11-02-2023,West Europe,Storage,,1806,161.83,98.95,0.0467,0.927
11-02-2023,Central India,Compute,1347,1418,117.44,97.47,0.0215,0.983
11-02-2023,Central India,Storage,1444,1543,79.15,99.98,0.0484,0.819
11-02-2023,Southeast Asia,Compute,757,899,45.61,97.06,0.037,1.069
11-02-2023,Southeast Asia,Storage,1202,1304,113.38,97.83,0.0426,0.875
12-02-2023,East US,Compute,824,881,63.4,97.75,0.0229,1.108
12-02-2023,East US,Storage,1983,2215,221.54,97.21,0.0433,0.818
12-02-2023,West Europe,Compute,,1743,98.88,97.49,0.0377,0.809
12-02-2023,West Europe,Storage,964,1233,106.67,98.73,0.0113,0.833
12-02-2023,Central India,Compute,1020,1141,99.28,98.77,0.0119,1.133
12-02-2023,Central India,Storage,770,856,82.24,97.96,0.0108,1.044
12-02-2023,Southeast Asia,Compute,596,686,81.63,99.11,0.0275,0.896
12-02-2023,Southeast Asia,Storage,558,615,72.72,99.11,0.0278,0.857
13-02-2023,East US,Compute,897,1136,90.85,98.17,0.0391,1.136
13-02-2023,East US,Storage,1929,2000,207.49,99.68,0.0285,1.028
13-02-2023,West Europe,Compute,928,1181,84.4,97.35,0.0238,1.148
13-02-2023,West Europe,Storage,678,843,62.45,99.82,0.0189,1.023
13-02-2023,Central India,Compute,1822,2091,271.57,99.84,0.0122,0.897
13-02-2023,Central India,Storage,967,1232,122.42,98.36,0.0399,1.152
13-02-2023,Southeast Asia,Compute,1027,1203,95.71,97.12,0.0125,0.9
13-02-2023,Southeast Asia,storage,1404,1671,107.3,97.7,0.0113,1.1
14-02-2023,East US,Compute,1245,1469,67.51,98.74,0.0395,0.93
14-02-2023,east us,Storage,551,797,34.53,99.22,0.0433,0.946
14-02-2023,West Europe,Compute,1433,1700,101.64,98.24,0.0487,0.98
14-02-2023,West Europe,Storage,507,694,39.38,97.51,0.0315,0.856
14-02-2023,Central India,Compute,995,1249,114.09,97.2,0.0395,1.016
14-02-2023,Central India,Storage,1002,1190,93.05,99.28,0.0367,1.044
14-02-2023,Southeast Asia,Compute,664,912,60.25,99.83,0.0378,0.888
14-02-2023,Southeast Asia,Storage,579,687,36.24,98.66,0.0167,1.041
15-02-2023,East US,Compute,1267,1365,189.47,99.07,0.0244,1.106
15-02-2023,East US,Storage,504,703,31.19,97.12,0.0312,1.159
15-02-2023,West Europe,Compute,1086,1271,58.64,97.54,0.0431,0.824
15-02-2023,West Europe,Storage,1608,1801,157.83,99.15,0.0231,0.942
15-02-2023,Central India,compute,563,690,59.21,98.73,0.0195,0.916
